year,county_fips,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,TOTAL,MARGIN
2000,6113.0,33747.0,4107.0,,525.0,23057.0,61436.0,-0.17400221368578683
2000,6115.0,5546.0,507.0,,236.0,9838.0,16127.0,0.2661375333291995
2000,8001.0,54132.0,4165.0,,1994.0,47561.0,107852.0,-0.06092608389274191
2000,8003.0,2455.0,265.0,,82.0,2857.0,5659.0,0.07103728573952996
2000,8005.0,82614.0,6952.0,,2608.0,97768.0,189942.0,0.07978224931821293
2000,8007.0,1432.0,265.0,,73.0,2988.0,4758.0,0.3270281630937369
2000,8009.0,531.0,47.0,,37.0,1663.0,2278.0,0.49692712906057945
2000,8011.0,783.0,44.0,,40.0,1096.0,1963.0,0.15944982170147734
2000,8013.0,69983.0,16498.0,,2272.0,50873.0,139626.0,-0.13686562674573505
2000,8015.0,2768.0,459.0,,83.0,4300.0,7610.0,0.20131406044678055
2000,8017.0,209.0,22.0,,24.0,957.0,1212.0,0.6171617161716172
2000,8019.0,2188.0,354.0,,135.0,2247.0,4924.0,0.0119821283509342
2000,8021.0,1749.0,79.0,,71.0,1772.0,3671.0,0.006265322800326887
2000,8023.0,1054.0,71.0,,19.0,504.0,1648.0,-0.3337378640776699
2000,8025.0,511.0,28.0,,51.0,855.0,1445.0,0.23806228373702423
2000,8027.0,507.0,100.0,,53.0,1451.0,2111.0,0.4471814306016106
2000,8029.0,3264.0,852.0,,198.0,8372.0,12686.0,0.40264858899574335
2000,8031.0,122693.0,11624.0,,2806.0,61224.0,198347.0,-0.3099063761992871
2000,8033.0,293.0,73.0,,27.0,741.0,1134.0,0.3950617283950617
2000,8035.0,27076.0,2230.0,,912.0,56007.0,86225.0,0.335529138880835
2000,8037.0,6772.0,1045.0,,206.0,7165.0,15188.0,0.025875691335264683
2000,8039.0,2326.0,292.0,,196.0,6151.0,8965.0,0.4266592303402119
2000,8041.0,61799.0,7116.0,,3548.0,128294.0,200757.0,0.33122132727625936
2000,8043.0,5293.0,516.0,,333.0,9914.0,16056.0,0.2878051818634778
2000,8045.0,6087.0,1608.0,,306.0,9103.0,17104.0,0.17633302151543498
2000,8047.0,1099.0,276.0,,84.0,1006.0,2465.0,-0.03772819472616633
2000,8049.0,2308.0,366.0,,109.0,3570.0,6353.0,0.1986463088304738
2000,8051.0,3059.0,927.0,,122.0,3128.0,7236.0,0.009535655058043118
2000,8053.0,188.0,51.0,,11.0,316.0,566.0,0.22614840989399293
2000,8055.0,1495.0,169.0,,44.0,1466.0,3174.0,-0.009136735979836169
2000,8057.0,173.0,40.0,,30.0,682.0,925.0,0.5502702702702703
2000,8059.0,100970.0,10336.0,,4047.0,120138.0,235491.0,0.08139589198737956
2000,8061.0,211.0,13.0,,16.0,728.0,968.0,0.5340909090909091
2000,8063.0,809.0,58.0,,49.0,2542.0,3458.0,0.5011567379988433
2000,8065.0,1296.0,213.0,,63.0,1056.0,2628.0,-0.091324200913242
2000,8067.0,7864.0,2378.0,,255.0,9993.0,20490.0,0.10390434358223524
2000,8069.0,46055.0,8194.0,,1859.0,62429.0,118537.0,0.13813408471616456
2000,8071.0,3243.0,199.0,,83.0,2569.0,6094.0,-0.11060059074499508
2000,8073.0,510.0,27.0,,32.0,1630.0,2199.0,0.5093224192814916
2000,8075.0,2296.0,140.0,,129.0,5531.0,8096.0,0.3995800395256917
2000,8077.0,15465.0,2235.0,,958.0,32396.0,51054.0,0.3316292552983116
2000,8079.0,168.0,19.0,,5.0,294.0,486.0,0.25925925925925924
2000,8081.0,1223.0,169.0,,105.0,3840.0,5337.0,0.49035038411092374
2000,8083.0,2556.0,530.0,,140.0,6158.0,9384.0,0.38384484228474
2000,8085.0,4041.0,656.0,,252.0,9266.0,14215.0,0.367569468870911
2000,8087.0,2885.0,211.0,,180.0,5722.0,8998.0,0.31529228717492774
2000,8089.0,2963.0,138.0,,129.0,4082.0,7312.0,0.15303610503282275
2000,8091.0,705.0,224.0,,25.0,1279.0,2233.0,0.25705329153605017
2000,8093.0,2393.0,404.0,,191.0,3677.0,6665.0,0.19264816204051013
2000,8095.0,564.0,48.0,,35.0,1573.0,2220.0,0.4545045045045045
2000,8097.0,4137.0,1013.0,,85.0,2565.0,7800.0,-0.20153846153846153
2000,8099.0,1361.0,79.0,,58.0,3026.0,4524.0,0.3680371352785146
2000,8101.0,28888.0,1520.0,,711.0,22827.0,53946.0,-0.11235309383457531
2000,8103.0,543.0,85.0,,42.0,2185.0,2855.0,0.5751313485113836
